"C_qoe","C_accep","duration_surfing","duration_prompt","cond_code","prompt_type","site_index","site_name","dl_bandwidth","ul_bandwidth","rtt_delay","usr_id"
"3","1","171","14","CHEF_1","web","5","chefkoch.de","64","384","80","23"
"4,5","1","163","8","CHEF_5","web","5","chefkoch.de","1024","384","80","23"
"3,5","1","155","10","CHEF_3","web","5","chefkoch.de","256","384","80","23"
" "," ","169"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","23"
"2","0","163","16","WIKI_0","web","2","wikipedia.de","32","384","80","23"
"4","1","163","18","WIKI_4","web","2","wikipedia.de","512","384","80","23"
"3,5","1","158","18","WIKI_2","web","2","wikipedia.de","128","384","80","23"
" "," ","201"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","23"
"2,5","1","172","14","SPIEGEL_1","web","1","spiegel.de","64","384","80","23"
"4","1","186","9","SPIEGEL_5","web","1","spiegel.de","1024","384","80","23"
"3","1","160","15","SPIEGEL_4","web","1","spiegel.de","512","384","80","23"
" "," ","175"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","27"
"4","1","165","15","SPIEGEL_4","web","1","spiegel.de","512","384","80","27"
"1,5","0","163","16","SPIEGEL_1","web","1","spiegel.de","64","384","80","27"
"3","1","175","16","SPIEGEL_2","web","1","spiegel.de","128","384","80","27"
" "," ","193"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","27"
"5","1","156","20","WIKI_4","web","2","wikipedia.de","512","384","80","27"
"2","1","187","36","WIKI_0","web","2","wikipedia.de","32","384","80","27"
"4","1","185","16","WIKI_2","web","2","wikipedia.de","128","384","80","27"
" "," ","211"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","27"
"4,5","1","175","12","EXP_4","web","4","expedia.de","512","384","80","27"
"1","1","160","16","EXP_0","web","4","expedia.de","32","384","80","27"
"5","1","162","15","EXP_2","web","4","expedia.de","128","384","80","27"
" "," ","174"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","27"
"4,5","1","174","9","CHEF_5","web","5","chefkoch.de","1024","384","80","27"
"4,5","1","167","13","CHEF_1","web","5","chefkoch.de","64","384","80","27"
"4","1","165","8","CHEF_3","web","5","chefkoch.de","256","384","80","27"
" "," ","181"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","27"
"4,5","1","152","15","SPIEGEL_3","web","1","spiegel.de","256","384","80","27"
"4,5","1","157","8","SPIEGEL_5","web","1","spiegel.de","1024","384","80","27"
" "," ","167"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","29"
"2,5","1","157","13","SPIEGEL_3","web","1","spiegel.de","256","384","80","29"
"1,5","1","202","13","SPIEGEL_2","web","1","spiegel.de","128","384","80","29"
" "," ","168"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","29"
"2","1","155","14","EXP_1","web","4","expedia.de","64","384","80","29"
"3","1","188","10","EXP_5","web","4","expedia.de","1024","384","80","29"
"4","1","156","16","EXP_3","web","4","expedia.de","256","384","80","29"
" "," ","207"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","29"
"2","1","176","15","CHEF_0","web","5","chefkoch.de","32","384","80","29"
"5","1","169","10","CHEF_4","web","5","chefkoch.de","512","384","80","29"
"2,5","1","156","9","CHEF_2","web","5","chefkoch.de","128","384","80","29"
" "," ","232"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","29"
"1,5","1","178","15","WIKI_1","web","2","wikipedia.de","64","384","80","29"
"4","1","181","14","WIKI_5","web","2","wikipedia.de","1024","384","80","29"
"5","1","164","20","WIKI_3","web","2","wikipedia.de","256","384","80","29"
" "," ","168"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","29"
"2","1","178","7","SPIEGEL_1","web","1","spiegel.de","64","384","80","29"
"3","1","158","8","SPIEGEL_4","web","1","spiegel.de","512","384","80","29"
"4","1","155","9","SPIEGEL_5","web","1","spiegel.de","1024","384","80","29"
" "," ","164"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","31"
"5","1","157","9","SPIEGEL_5","web","1","spiegel.de","1024","384","80","31"
"4,5","1","158","8","SPIEGEL_4","web","1","spiegel.de","512","384","80","31"
"1,5","1","173","20","SPIEGEL_2","web","1","spiegel.de","128","384","80","31"
" "," ","174"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","31"
"4","1","160","16","EXP_4","web","4","expedia.de","512","384","80","31"
"1","0","161","13","EXP_0","web","4","expedia.de","32","384","80","31"
"4","1","157","10","EXP_2","web","4","expedia.de","128","384","80","31"
" "," ","173"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","31"
"5","1","156","33","CHEF_5","web","5","chefkoch.de","1024","384","80","31"
"2","1","169","17","CHEF_1","web","5","chefkoch.de","64","384","80","31"
"4","1","167","10","CHEF_3","web","5","chefkoch.de","256","384","80","31"
" "," ","171"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","31"
"5","1","166","13","WIKI_4","web","2","wikipedia.de","512","384","80","31"
"3","1","154","15","WIKI_0","web","2","wikipedia.de","32","384","80","31"
"4,5","1","157","14","WIKI_2","web","2","wikipedia.de","128","384","80","31"
" "," ","196"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","31"
"2,5","1","155","10","SPIEGEL_1","web","1","spiegel.de","64","384","80","31"
"4,5","1","151","7","SPIEGEL_3","web","1","spiegel.de","256","384","80","31"
" "," ","161"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","33"
"5","1","164","8","SPIEGEL_4","web","1","spiegel.de","512","384","80","33"
"4,5","1","158","10","SPIEGEL_2","web","1","spiegel.de","128","384","80","33"
" "," ","161"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","33"
"5","1","153","13","WIKI_3","web","2","wikipedia.de","256","384","80","33"
"4,5","1","169","15","WIKI_1","web","2","wikipedia.de","64","384","80","33"
"5","1","154","14","WIKI_5","web","2","wikipedia.de","1024","384","80","33"
" "," ","191"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","33"
"4,5","1","167","8","EXP_3","web","4","expedia.de","256","384","80","33"
"2","1","175","13","EXP_1","web","4","expedia.de","64","384","80","33"
"5","1","156","7","EXP_5","web","4","expedia.de","1024","384","80","33"
" "," ","227"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","33"
"5","1","208","7","CHEF_2","web","5","chefkoch.de","128","384","80","33"
"2","1","163","13","CHEF_0","web","5","chefkoch.de","32","384","80","33"
"5","1","160","6","CHEF_4","web","5","chefkoch.de","512","384","80","33"
" "," ","154"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","33"
"2","1","157","9","SPIEGEL_1","web","1","spiegel.de","64","384","80","33"
"4,5","1","150","9","SPIEGEL_3","web","1","spiegel.de","256","384","80","33"
"5","1","141","6","SPIEGEL_5","web","1","spiegel.de","1024","384","80","33"
" "," ","166"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","35"
"4","1","171","11","SPIEGEL_5","web","1","spiegel.de","1024","384","80","35"
"4","1","178","8","SPIEGEL_4","web","1","spiegel.de","512","384","80","35"
"2","1","186","15","SPIEGEL_2","web","1","spiegel.de","128","384","80","35"
" "," ","151"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","35"
"4","1","153","11","WIKI_4","web","2","wikipedia.de","512","384","80","35"
"1","0","157","20","WIKI_0","web","2","wikipedia.de","32","384","80","35"
"2,5","1","152","16","WIKI_2","web","2","wikipedia.de","128","384","80","35"
" "," ","179"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","35"
"2,5","1","168","13","EXP_2","web","4","expedia.de","128","384","80","35"
" "," ","171"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","35"
"4","1","162","7","CHEF_5","web","5","chefkoch.de","1024","384","80","35"
"2,5","1","184","21","CHEF_1","web","5","chefkoch.de","64","384","80","35"
"2","1","160","8","CHEF_3","web","5","chefkoch.de","256","384","80","35"
" "," ","161"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","35"
"1","0","188","9","SPIEGEL_1","web","1","spiegel.de","64","384","80","35"
"3","1","157","10","SPIEGEL_3","web","1","spiegel.de","256","384","80","35"
" "," ","161"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","37"
"3","1","156","14","SPIEGEL_3","web","1","spiegel.de","256","384","80","37"
"4","1","156","13","SPIEGEL_2","web","1","spiegel.de","128","384","80","37"
" "," ","175"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","37"
"4","1","162","12","EXP_5","web","4","expedia.de","1024","384","80","37"
"4","1","161","11","EXP_1","web","4","expedia.de","64","384","80","37"
"4,5","1","152","9","EXP_3","web","4","expedia.de","256","384","80","37"
" "," ","166"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","37"
"4,5","1","154","10","CHEF_4","web","5","chefkoch.de","512","384","80","37"
"3","1","157","23","CHEF_0","web","5","chefkoch.de","32","384","80","37"
"4","1","157","11","CHEF_2","web","5","chefkoch.de","128","384","80","37"
" "," ","159"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","37"
"4","1","156","23","WIKI_5","web","2","wikipedia.de","1024","384","80","37"
"3,5","1","150","18","WIKI_1","web","2","wikipedia.de","64","384","80","37"
"5","1","154","31","WIKI_3","web","2","wikipedia.de","256","384","80","37"
" "," ","153"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","37"
"4,5","1","143","11","SPIEGEL_5","web","1","spiegel.de","1024","384","80","37"
"2","0","144","16","SPIEGEL_1","web","1","spiegel.de","64","384","80","37"
"4","1","148","15","SPIEGEL_4","web","1","spiegel.de","512","384","80","37"
" "," ","177"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","39"
"3,5","1","173","16","SPIEGEL_5","web","1","spiegel.de","1024","384","80","39"
"4","1","160","13","SPIEGEL_4","web","1","spiegel.de","512","384","80","39"
"3,5","1","173","19","SPIEGEL_2","web","1","spiegel.de","128","384","80","39"
" "," ","173"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","39"
"3,5","1","171","12","EXP_2","web","4","expedia.de","128","384","80","39"
"4","1","163","12","EXP_4","web","4","expedia.de","512","384","80","39"
"1,5","1","164","24","EXP_0","web","4","expedia.de","32","384","80","39"
" "," ","170"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","39"
"4","1","170","9","CHEF_3","web","5","chefkoch.de","256","384","80","39"
"4","1","176","9","CHEF_5","web","5","chefkoch.de","1024","384","80","39"
"3","1","163","12","CHEF_1","web","5","chefkoch.de","64","384","80","39"
" "," ","158"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","39"
"3,5","1","157","16","WIKI_2","web","2","wikipedia.de","128","384","80","39"
" "," ","182"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","41"
"2","0","176","27","SPIEGEL_1","web","1","spiegel.de","64","384","80","41"
"4","1","169","26","SPIEGEL_4","web","1","spiegel.de","512","384","80","41"
"3,5","1","181","27","SPIEGEL_2","web","1","spiegel.de","128","384","80","41"
" "," ","222"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","41"
"5","1","188","27","WIKI_5","web","2","wikipedia.de","1024","384","80","41"
"5","1","156","73","WIKI_1","web","2","wikipedia.de","64","384","80","41"
"5","1","163","19","WIKI_3","web","2","wikipedia.de","256","384","80","41"
" "," ","165"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","41"
"4,5","1","175","14","EXP_5","web","4","expedia.de","1024","384","80","41"
"4","1","154","15","EXP_1","web","4","expedia.de","64","384","80","41"
"3,5","0","151","16","EXP_3","web","4","expedia.de","256","384","80","41"
" "," ","173"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","41"
"5","1","158","19","CHEF_4","web","5","chefkoch.de","512","384","80","41"
"4","1","150","18","CHEF_0","web","5","chefkoch.de","32","384","80","41"
"4,5","1","157","16","CHEF_2","web","5","chefkoch.de","128","384","80","41"
" "," ","160"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","41"
"4","1","128","30","SPIEGEL_3","web","1","spiegel.de","256","384","80","41"
"2","0","129","16","SPIEGEL_5","web","1","spiegel.de","1024","384","80","41"
" "," ","160"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","43"
"2","1","157","15","SPIEGEL_1","web","1","spiegel.de","64","384","80","43"
"4","1","154","18","SPIEGEL_4","web","1","spiegel.de","512","384","80","43"
"2,5","1","169","12","SPIEGEL_2","web","1","spiegel.de","128","384","80","43"
" "," ","158"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","43"
"3","1","158","15","WIKI_2","web","2","wikipedia.de","128","384","80","43"
"3,5","1","161","15","WIKI_0","web","2","wikipedia.de","32","384","80","43"
"4","1","164","13","WIKI_4","web","2","wikipedia.de","512","384","80","43"
" "," ","168"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","43"
"2,5","1","149","13","EXP_2","web","4","expedia.de","128","384","80","43"
"1","0","164","12","EXP_0","web","4","expedia.de","32","384","80","43"
"3,5","1","146","10","EXP_4","web","4","expedia.de","512","384","80","43"
" "," ","161"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","43"
"3,5","1","144","9","CHEF_3","web","5","chefkoch.de","256","384","80","43"
"3","1","151","10","CHEF_1","web","5","chefkoch.de","64","384","80","43"
"4,5","1","149","11","CHEF_5","web","5","chefkoch.de","1024","384","80","43"
" "," ","183"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","43"
"4","1","151","9","SPIEGEL_3","web","1","spiegel.de","256","384","80","43"
"4","1","160","8","SPIEGEL_5","web","1","spiegel.de","1024","384","80","43"
" "," ","164"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","45"
"4,5","1","155","20","SPIEGEL_4","web","1","spiegel.de","512","384","80","45"
"3","1","155","34","SPIEGEL_2","web","1","spiegel.de","128","384","80","45"
" "," ","169"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","45"
"3,5","1","161","24","EXP_3","web","4","expedia.de","256","384","80","45"
"4","1","153","26","EXP_5","web","4","expedia.de","1024","384","80","45"
"3,5","1","150","26","EXP_1","web","4","expedia.de","64","384","80","45"
" "," ","294"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","45"
"4","1","214","21","CHEF_2","web","5","chefkoch.de","128","384","80","45"
"4,5","1","183","20","CHEF_4","web","5","chefkoch.de","512","384","80","45"
"1,5","0","171","23","CHEF_0","web","5","chefkoch.de","32","384","80","45"
" "," ","194"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","45"
"4,5","1","156","28","WIKI_3","web","2","wikipedia.de","256","384","80","45"
"4","1","170","23","WIKI_5","web","2","wikipedia.de","1024","384","80","45"
"3,5","1","164","24","WIKI_1","web","2","wikipedia.de","64","384","80","45"
" "," ","164"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","45"
"4","1","153","17","SPIEGEL_5","web","1","spiegel.de","1024","384","80","45"
"3,5","1","157","26","SPIEGEL_3","web","1","spiegel.de","256","384","80","45"
"2","1","158","30","SPIEGEL_1","web","1","spiegel.de","64","384","80","45"
" "," ","162"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","47"
"5","1","164","8","SPIEGEL_4","web","1","spiegel.de","512","384","80","47"
"2","1","157","12","SPIEGEL_1","web","1","spiegel.de","64","384","80","47"
"2","1","151","10","SPIEGEL_2","web","1","spiegel.de","128","384","80","47"
" "," ","169"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","47"
"4,5","1","164","8","EXP_4","web","4","expedia.de","512","384","80","47"
"3,5","1","162","9","EXP_2","web","4","expedia.de","128","384","80","47"
"1","0","163","10","EXP_0","web","4","expedia.de","32","384","80","47"
" "," ","164"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","47"
"5","1","162","8","CHEF_5","web","5","chefkoch.de","1024","384","80","47"
"5","1","157","10","CHEF_3","web","5","chefkoch.de","256","384","80","47"
"3,5","1","152","7","CHEF_1","web","5","chefkoch.de","64","384","80","47"
" "," ","178"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","47"
"5","1","170","10","WIKI_4","web","2","wikipedia.de","512","384","80","47"
"5","1","155","7","WIKI_2","web","2","wikipedia.de","128","384","80","47"
"1","0","153","16","WIKI_0","web","2","wikipedia.de","32","384","80","47"
" "," ","167"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","47"
"4,5","1","157","6","SPIEGEL_5","web","1","spiegel.de","1024","384","80","47"
"5","1","162","6","SPIEGEL_3","web","1","spiegel.de","256","384","80","47"
" "," ","120"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","14"
