"C_qoe","C_accep","duration_surfing","duration_prompt","cond_code","prompt_type","site_index","site_name","dl_bandwidth","ul_bandwidth","rtt_delay","usr_id"
" "," ","218"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","42"
"5","1","186","10","WIKI_5","web","2","wikipedia.de","1024","384","80","42"
"5","1","154","11","WIKI_1","web","2","wikipedia.de","64","384","80","42"
"5","1","161","15","WIKI_3","web","2","wikipedia.de","256","384","80","42"
" "," ","163"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","42"
"5","1","172","5","EXP_5","web","4","expedia.de","1024","384","80","42"
"5","1","152","7","EXP_1","web","4","expedia.de","64","384","80","42"
"5","1","149","6","EXP_3","web","4","expedia.de","256","384","80","42"
" "," ","171"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","42"
"5","1","156","6","CHEF_4","web","5","chefkoch.de","512","384","80","42"
"5","1","149","25","CHEF_0","web","5","chefkoch.de","32","384","80","42"
"5","1","155","7","CHEF_2","web","5","chefkoch.de","128","384","80","42"
" "," ","159"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","42"
"5","1","126","6","SPIEGEL_3","web","1","spiegel.de","256","384","80","42"
"5","1","127","5","SPIEGEL_5","web","1","spiegel.de","1024","384","80","42"
" "," ","160"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","48"
"4","1","162","14","SPIEGEL_4","web","1","spiegel.de","512","384","80","48"
"1,5","1","156","17","SPIEGEL_1","web","1","spiegel.de","64","384","80","48"
"2,5","1","149","16","SPIEGEL_2","web","1","spiegel.de","128","384","80","48"
" "," ","168"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","48"
"3","1","162","15","EXP_4","web","4","expedia.de","512","384","80","48"
"2","1","160","13","EXP_2","web","4","expedia.de","128","384","80","48"
"1","1","161","18","EXP_0","web","4","expedia.de","32","384","80","48"
" "," ","162"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","48"
"4","1","160","43","CHEF_5","web","5","chefkoch.de","1024","384","80","48"
"4","1","156","35","CHEF_3","web","5","chefkoch.de","256","384","80","48"
"3","1","151","47","CHEF_1","web","5","chefkoch.de","64","384","80","48"
" "," ","177"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","48"
"4,5","1","168","15","WIKI_4","web","2","wikipedia.de","512","384","80","48"
"4","1","153","14","WIKI_2","web","2","wikipedia.de","128","384","80","48"
"2","1","151","38","WIKI_0","web","2","wikipedia.de","32","384","80","48"
" "," ","166"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","48"
"4","1","155","8","SPIEGEL_5","web","1","spiegel.de","1024","384","80","48"
"3,5","1","160","14","SPIEGEL_3","web","1","spiegel.de","256","384","80","48"
